name,address
Bến xe Vận tải Nam Hà Nội,"Bến xe Vận tải Nam Hà Nội, Ngõ 785 Trương Định, Giáp Nhị, Hoàng Mai, Hà Nội"
Bến Xe Mỹ Đình,"Bến Xe Mỹ Đình, Mỹ Đình, Nam Từ Liêm, Hà Nội"
Bến Xe Kim Mã,"Bến Xe Kim Mã, Kim Mã, Ba Đình, Hà Nội"
E1.2 Điểm Trung Chuyển Long Biên,"E1.2 Điểm Trung Chuyển Long Biên, Đ. Yên Phụ, Nguyễn Trung Trực, Ba Đình, Hà Nội"
Bến xe Nước Ngầm,"Bến xe Nước Ngầm, 1 Đ. Ngọc Hồi, Hoàng Liệt, Hoàng Mai, Hà Nội"
Bến xe gia lâm,"2R3C+VRM Bến xe gia lâm, Ngã Tư Sở, Đống Đa, Hà Nội"
Bến Xe Trâu Bò Sữa,"Bến Xe Trâu Bò Sữa, Ngõ 53 Nguyễn Khoái, Bạch Đằng, Hai Bà Trưng, Hà Nội"
10-12 Quán Thánh,"10-12 Quán Thánh, P. Quán Thánh, Nguyễn Trung Trực, Ba Đình, Hà Nội"
Bến Xe Giáp Bát,"Bến Xe Giáp Bát, Giải Phóng, Giáp Bát, Hoàng Mai, Hà Nội"
Đối Diện Trung Tâm Thể Thao Hoàng Cầu - Hồ Hoàng Cầu,"Đối Diện Trung Tâm Thể Thao Hoàng Cầu - Hồ Hoàng Cầu, P. Hoàng Cầu, Chợ Dừa, Đống Đa, Hà Nội"
Đại lý vé xe buýt Bến xe Kim Mã,"2RJH+VP3 Đại lý vé xe buýt Bến xe Kim Mã, P. Nguyễn Thái Học, Kim Mã, Đống Đa, Hà Nội"
Bến xe buýt,"Bến xe buýt, 45 P. Khâm Thiên, Thổ Quan, Đống Đa, Hà Nội"
Gò Đống Đa - Tây Sơn,"Gò Đống Đa - Tây Sơn, đối diện 145 P. Tây Sơn, Quang Trung, Đống Đa, Hà Nội"
161 Minh Khai,"161 Minh Khai, 169 P. Minh Khai, Minh Khai, Hai Bà Trưng, Hà Nội"
259 Minh Khai,"259 Minh Khai, 259 P. Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
Công Viên Lê Nin - Đối Diện 35 Trần Phú,"Công Viên Lê Nin - Đối Diện 35 Trần Phú, 35 P. Trần Phú, Điện Biên, Ba Đình, Hà Nội"
274-276 Khâm Thiên,"274-276 Khâm Thiên, 274 P. Khâm Thiên, Thổ Quan, Đống Đa, Hà Nội"
Bến Xe Nước Ngầm,"Bến Xe Nước Ngầm, Giải Phóng, Hoàng Liệt, Hoàng Mai, Hà Nội"
7 Nguyễn Thái Học,"7 Nguyễn Thái Học, 7-9-11 P. Nguyễn Thái Học, Cửa Nam, Hoàn Kiếm, Hà Nội"
Xe Qbus,"Xe Qbus, Số 51 P. Kim Mã, Kim Mã, Ba Đình, Hà Nội"
Công Ty Vận Tải Hành Khách Bắc Hà,"Công Ty Vận Tải Hành Khách Bắc Hà, Khu Đô Thị Đầm Trấu, 8A2, Quận Hai Bà Trưng, Hà Nội"
216-218 Bạch Mai,"216-218 Bạch Mai, 216 P. Bạch Mai, Cầu Dền, Hai Bà Trưng, Hà Nội"
Đối Diện Bãi Trông Giữ Xe Công Ty Khai Thác Điểm Đỗ Xe Hà Nội Tại 98 Kim Ngưu,"Đối Diện Bãi Trông Giữ Xe Công Ty Khai Thác Điểm Đỗ Xe Hà Nội Tại 98 Kim Ngưu, Thanh Nhàn, Hai Bà Trưng, Hà Nội"
160 Tôn Đức Thắng,"160 Tôn Đức Thắng, 160 P. Tôn Đức Thắng, Hàng Bột, Đống Đa, Hà Nội"
